Date,Close
2022-01-03,150.2
2022-01-04,152.5
2022-01-05,151.8
2022-01-06,153.1
2022-01-07,155.3
2022-01-10,154.9
2022-01-11,156.2
2022-01-12,157.1
2022-01-13,156.5
2022-01-14,158.0
2022-01-18,157.2
2022-01-19,156.9
2022-01-20,155.8
2022-01-21,153.4
2022-01-24,152.1
2022-01-25,154.0
2022-01-26,155.5
2022-01-27,156.7
2022-01-28,158.2
2022-01-31,160.1
2022-02-01,161.5
2022-02-02,160.9
2022-02-03,162.8
2022-02-04,164.3
2022-02-07,163.9
2022-02-08,165.1
2022-02-09,166.7
2022-02-10,165.5
2022-02-11,163.8
2022-02-14,162.1
2022-02-15,164.0
2022-02-16,165.2
2022-02-17,164.9
2022-02-18,163.0
2022-02-22,161.5
2022-02-23,160.8
2022-02-24,163.2
2022-02-25,165.0
2022-02-28,166.9
